"x","y"
2898,7689
2734,8888
2558,8134
3202,8201
2979,8735
3055,8768
4004,7990
3411,7840
3250,8262
3333,7996
2512,7950
2795,7827
3849,8157
3498,7554
2729,7515
2555,7660
4033,8210
2821,7936
3133,8409
2542,8136
3644,8400
3593,8078
2514,7508
3229,8504
2642,7757
3148,7672
3579,7852
2769,7845
2905,8740
2675,7823
2591,7596
3111,8094
2570,8418
2820,7901
3532,7599
2605,8000
3182,7958
2885,8673
3927,7877
2718,7838
2647,8881
2513,7897
3014,8663
3047,8710
2553,8645
2505,8213
2912,8230
4057,7771
2530,7594
3346,7765
3624,8324
3438,7614
2996,8712
2645,7684
2891,8003
2593,8496
3304,8583
3467,8651
3006,8639
3425,7621
3507,8204
3028,7980
2758,7804
2777,8476
3343,8310
2548,7793
3100,7714
3573,8088
2512,7626
2565,7826
3075,7956
2815,8144
2953,8278
3777,7691
2929,8276
2884,8263
2738,7537
3114,8759
3617,8310
2567,7619
3083,8030
3347,8723
2522,8603
3821,8340
2997,8529
3611,7843
3677,7660
3504,8125
2649,7816
3848,7693
3366,7892
2802,8273
2786,8271
2558,8382
3870,8252
3209,8362
3161,8363
2627,7723
3119,7990
3767,8117
2662,8084
3359,8270
3381,8282
3752,7682
3471,8612
3254,8239
3596,8608
3285,8326
3129,8134
3378,8708
3535,7832
3474,8821
2943,8290
3386,8232
3088,8506
3896,8329
3133,8781
2767,8885
3220,8807
3601,8643
2650,7618
3401,8930
3229,8475
2641,7625
2631,7617
2740,8390
3098,8041
2961,7746
3099,7508
3383,8458
2898,8208
2810,7827
3325,8351
3328,8876
3162,8899
3238,8252
3108,7542
3487,8045
3695,8551
3332,8886
2890,7706
3879,7684
3523,7534
3389,8795
3286,8592
2855,8882
4028,7822
3994,8257
2731,8464
2827,8622
3701,8335
3690,7844
3963,8446
2979,8532
3778,8359
3488,7613
3922,7727
3907,8167
3804,8178
3432,7830
3175,8787
3490,8555
3732,8086
3365,7960
2852,8832
2868,8905
2758,8472
3129,7635
3146,7711
3731,7846
3155,7702
3998,7533
4071,7781
3524,7867
3168,8150
3392,8056
2893,8943
3053,7694
3560,8319
3849,8261
4034,8136
2903,8271
2687,8740
3465,7614
3746,8536
3948,7724
3289,8770
3971,7917
3811,8144
3927,8159
2565,8971
4024,8254
3012,7707
3881,8137
2561,8636
4057,8100
4009,7909
3831,8121
3140,8775
3126,7940
2990,8304
2777,8733
3331,8998
3415,8833
2623,8715
2939,8742
4065,8123
4001,8404
4008,7803
4072,8051
3328,8706
3427,8886
2564,8932
2873,8690
3893,7541
3910,7527
2854,9001
3994,7809
3805,8447
3279,8980
3689,8660
3339,8862
3951,8425
2533,8506
2889,8152
4171,7751
3790,8661
3512,7545
2991,7695
3591,8670
3903,7507
4123,8474
2931,8149
3637,8346
2977,7697
3941,8123
3632,8676
3934,7546
3191,8156
3278,7732
3096,7756
3337,8374
3184,8147
2846,8107
3766,8399
4001,7558
3181,9008
3400,8727
3390,8745
3134,8425
2622,7934
2896,8162
3507,8959
3624,8985
4130,8483
3994,8196
3938,8725
4108,7811
3622,7765
3090,7741
2838,8101
3398,7629
4275,8323
2840,8639
2848,7607
2735,7895
3383,8754
3695,8566
3478,8692
3718,8631
3540,8848
3484,8304
3622,8345
4007,7567
2551,8458
2516,8091
3406,8411
3040,8728
3519,8963
3931,8714
3589,8659
2818,8922
3096,7730
3618,8684
2861,9018
3612,8981
3498,8306
3213,8411
3431,8045
3437,8020
3756,8399
4058,8061
3444,8792
3503,8637
3914,8441
3874,8392
2682,7609
2928,8731
2693,7606
3425,8792
3642,7774
3465,8864
2578,7922
2506,8057
3430,8816
2993,9064
3667,8640
4177,8543
3400,7831
3329,8829
3655,8711
4024,7536
3174,8505
3643,8663
3356,7645
2544,8492
3793,8398
3398,7509
3384,7632
3624,7796
3427,7528
3216,8480
3568,9057
4036,7534
4046,7682
3365,8575
3414,8720
3197,9000
3262,7732
4051,7799
2639,8471
3521,7560
3994,7638
2720,7889
2829,7783
3453,8860
3150,8839
3461,8826
3795,7772
4117,7797
3655,8724
3453,8817
3700,7811
4099,8052
3553,8967
4138,8237
3032,8744
2512,8196
4181,8212
3862,8410
3168,7988
3420,8660
3734,8418
3948,7909
2575,8763
3897,8180
3755,8647
3165,8450
3095,7813
3011,7694
3892,8267
4062,8479
2919,8602
2918,8295
3505,8662
4826,7614
3157,8501
3982,7523
4061,8075
3417,8678
3881,8407
2843,8797
3435,8701
3812,7768
3982,7746
2781,8902
3753,8421
3812,8396
3481,8955
3976,7722
4259,8308
3588,8738
3762,8607
3724,8738
3856,8393
3489,8778
4162,7798
3468,8939
3449,8662
3507,8973
3767,7817
2887,8177
3193,8314
3497,8877
2804,8917
3453,8775
3632,7696
4181,8159
2951,8550
4022,8400
3968,7668
3983,8441
3905,8491
3860,8296
3274,8518
3610,8569
4114,8227
4091,8529
4139,8188
3247,8945
4039,7987
3787,7848
3218,7968
2704,7775
3099,8811
3353,7517
3759,7756
2690,8857
3407,8537
3287,8826
4037,7949
4048,7997
4029,7952
3529,7582
2801,7925
3076,7797
3868,8430
2683,7751
2851,8137
3221,8863
2835,8141
2589,8061
3765,7845
2777,7621
3850,7673
3990,8183
3993,7832
3392,7962
3367,7533
2887,8234
2767,7631
3348,8421
3769,7852
3169,8417
3250,8290
3397,7604
3099,8059
3981,7656
3352,8440
3008,7740
3308,8394
3102,8069
2741,8400
3785,7792
3647,7815
2546,8018
3215,7960
3156,8415
3454,8020
4030,8319
2872,7691
3453,8059
2596,8824
3437,8006
